Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:38:52.696 PM, Apr 22, 2015",95.2,0,4568645632,1519317008
"9:38:53.696 PM, Apr 22, 2015",82.2,1.5,4581752832,1906503128
"9:38:54.696 PM, Apr 22, 2015",96.5,1.8,4581752832,2257731608
"9:38:55.697 PM, Apr 22, 2015",94.6,1.7,4581752832,2618180416
"9:38:56.697 PM, Apr 22, 2015",100,1.6,4581752832,2653099048
"9:38:57.697 PM, Apr 22, 2015",81.5,0.9,4541382656,2596189728
"9:38:58.697 PM, Apr 22, 2015",96.1,1.8,4581752832,3081775488
"9:38:59.697 PM, Apr 22, 2015",93.9,1.9,4566548480,3391583632
"9:39:00.697 PM, Apr 22, 2015",95.9,0.3,4578607104,1686438536
"9:39:01.697 PM, Apr 22, 2015",83,1.1,4558684160,1550914720
"9:39:02.707 PM, Apr 22, 2015",85.5,2.1,4581752832,1639462200
"9:39:03.698 PM, Apr 22, 2015",93.9,1.9,4581752832,1878217912
"9:39:04.698 PM, Apr 22, 2015",100,2.3,4569694208,1948279336
"9:39:05.698 PM, Apr 22, 2015",42.6,8.8,4561829888,804291792
"9:39:07.009 PM, Apr 22, 2015",0,0,4561829888,804291792
"9:39:07.699 PM, Apr 22, 2015",85.6,0,4561829888,2106310720
"9:39:08.698 PM, Apr 22, 2015",90.9,1.2,4552916992,2696189320
"9:39:09.698 PM, Apr 22, 2015",94.9,1.8,4561829888,3026511632
"9:39:10.703 PM, Apr 22, 2015",95.8,1.8,4553965568,1035015480
"9:39:11.699 PM, Apr 22, 2015",96.3,0,4555538432,1363049984
"9:39:12.699 PM, Apr 22, 2015",80.5,1.4,4561829888,1554941080
"9:39:13.699 PM, Apr 22, 2015",96.5,1.8,4561829888,1897303992
"9:39:14.699 PM, Apr 22, 2015",96.5,1.8,4561829888,2184494576
"9:39:15.699 PM, Apr 22, 2015",97,1.5,4561829888,2444652512
"9:39:16.699 PM, Apr 22, 2015",84,0,4547674112,2652600656
"9:39:17.700 PM, Apr 22, 2015",96.7,1.6,4561829888,3346238456
"9:39:18.700 PM, Apr 22, 2015",94.6,2.1,4544004096,1275617088
"9:39:19.700 PM, Apr 22, 2015",96.3,0.1,4561829888,1994005624
"9:39:20.700 PM, Apr 22, 2015",78,1,4537188352,1680135880
"9:39:21.700 PM, Apr 22, 2015",100,2,4561829888,2030641552
"9:39:22.700 PM, Apr 22, 2015",94.2,1.8,4561829888,2448433176
"9:39:23.700 PM, Apr 22, 2015",97,1.8,4561829888,2789398544
"9:39:24.700 PM, Apr 22, 2015",92.7,0.1,4540858368,2913419464
"9:39:25.700 PM, Apr 22, 2015",89.2,0.8,4561829888,3602396304
"9:39:26.701 PM, Apr 22, 2015",95.1,1.9,4538761216,1537979160
"9:39:27.701 PM, Apr 22, 2015",41.9,0,4538761216,2535676976
"9:39:28.701 PM, Apr 22, 2015",13.6,0,4538761216,2559354136
"9:39:29.701 PM, Apr 22, 2015",12.4,0,4538761216,2559609808
"9:39:30.701 PM, Apr 22, 2015",12.6,0,4538761216,2559872752
"9:39:31.701 PM, Apr 22, 2015",13.2,0,4538761216,2635404136
"9:39:32.701 PM, Apr 22, 2015",12.7,0,4538761216,3585986456
"9:39:33.701 PM, Apr 22, 2015",15.3,0.4,4561829888,2311901568
"9:39:34.701 PM, Apr 22, 2015",12.4,0,4561829888,3244113288
"9:39:35.702 PM, Apr 22, 2015",15.6,0.4,4561829888,1786138960
"9:39:36.702 PM, Apr 22, 2015",12.4,0,4561829888,2720431768
